config.branches,config.chunk_size,config.compressor,config.compressor_config.mode,config.compressor_config.smoothness,config.compressor_config.tolerance,config.decomp_file,config.input_file,config.iterations,config.normalize,config.results_file,config.tree,results.abs_error_avg,results.abs_error_max,results.compressed_size_bytes,results.compression_ratio,results.compression_throughput_mbps,results.decompression_throughput_mbps,results.ks_p_value,results.ks_statistic,results.mse,results.original_size_bytes,results.psnr,results.q50_shift,results.q5_shift,results.q95_shift,results.q99_shift,results.rel_error_avg,results.rel_error_max,results.wasserstein_distance,system.host,system.timestamp,config.compressor_config.nthreads,config.compressor_config.quality,config.compressor_config.absErrorBound,config.compressor_config.blockSize,config.compressor_config.cmprAlgo,config.compressor_config.errorBoundMode,config.compressor_config.interpAlgo,config.compressor_config.interpAlpha,config.compressor_config.interpAnchorStride,config.compressor_config.interpBeta,config.compressor_config.interpDirection,config.compressor_config.l2normErrorBound,config.compressor_config.lorenzo,config.compressor_config.lorenzo2,config.compressor_config.openmp,config.compressor_config.psnrErrorBound,config.compressor_config.quantbinCnt,config.compressor_config.regression,config.compressor_config.regression2,config.compressor_config.relErrorBound,config.compressor_config.precision,config.compressor_config.rate,config.compressor_config.compressionLevel,config.compressor_config.truncBits
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,100.000000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,8858.7294921875,1107035.125,401247,26.5060977935791,24.038854598999023,27.356660842895508,0.0,0.6008000373840331,227566752.0,10635492,37.444114685058594,3732.80859375,10040.638671875,25447.91015625,61900.19921875,0.391681551933288,2.160316944122314,8295.8642578125,x1000c0s0b0n1,2026-04-09 13:20:39,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,10.000000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,8862.9599609375,1102334.375,401751,26.47284507751465,24.158262252807617,27.192907333374023,0.0,0.557316601276397,227290832.0,10635492,37.44938278198242,3913.419921875,9521.021484375,24903.76171875,60742.19140625,0.39181706309318504,3.146255731582641,8106.93994140625,x1000c0s0b0n1,2026-04-09 13:21:51,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,1.000000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,8930.408203125,842218.5625,406695,26.15102767944336,24.14070701599121,27.133827209472656,0.0,0.43892359733581504,223974464.0,10635492,37.51321792602539,3739.73046875,7230.8984375,22127.19140625,53538.27734375,0.395455807447433,21.119701385498047,7022.951171875,x1000c0s0b0n1,2026-04-09 13:23:05,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,0.100000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,8662.615234375,264473.59375,453479,23.453107833862305,24.121707916259766,27.138263702392578,0.0,0.223346143960952,179982576.0,10635492,38.46289825439453,2626.53515625,1199.3564453125,12450.01171875,30493.6640625,0.398359179496765,16.137235641479492,3893.76123046875,x1000c0s0b0n1,2026-04-09 13:24:23,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,8388608,mgard,abs,-1.000000,0.100000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,7689.984375,177646.625,582292,18.264877319335938,18.472084045410156,26.76583480834961,0.0,0.14774341881275102,136420512.0,10635492,39.66640853881836,1906.392578125,857.9609375,8460.64453125,17791.2421875,0.363403141498565,13.429068565368652,2667.98388671875,x1000c0s0b0n1,2026-04-09 13:24:18,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,4194304,mgard,abs,-1.000000,0.100000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,6759.25341796875,96396.953125,711239,14.953471183776855,20.528602600097656,26.910253524780273,0.0,0.10767683386802601,102247408.0,10635492,40.918678283691406,1443.35546875,1636.2744140625,6550.7421875,3737.6796875,0.325058996677398,8.59728717803955,2016.1651611328125,x1000c0s0b0n1,2026-04-09 13:24:13,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,0.010000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,4926.00537109375,41632.48828125,748271,14.213422775268555,23.927690505981445,26.896766662597656,0.0,0.070018008351325,50957596.0,10635492,43.943115234375,831.1953125,1685.203125,4482.34765625,7157.5703125,0.24183896183967502,3.758682012557983,1377.4573974609375,x1000c0s0b0n1,2026-04-09 13:25:53,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,8388608,mgard,abs,-1.000000,0.010000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,3132.428955078125,20829.73828125,1062572,10.009196281433105,18.304990768432617,26.24367904663086,0.0,0.045450836420059,18990458.0,10635492,48.22985076904297,330.669921875,1413.4462890625,1198.58984375,504.7421875,0.15731425583362502,1.989531397819519,703.1622314453125,x1000c0s0b0n1,2026-04-09 13:25:48,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,4194304,mgard,abs,-1.000000,0.010000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,2109.50634765625,10816.052734375,1331551,7.987296104431152,19.984174728393555,25.703916549682617,0.0,0.035644799470901004,7615506.5,10635492,52.19821548461914,11.189453125,853.7646484375,146.26171875,647.734375,0.10723391175270001,1.039818048477172,377.8513488769531,x1000c0s0b0n1,2026-04-09 13:25:43,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisJetsAuxDyn.pt,16777216,mgard,abs,-1.000000,0.001000,,DAOD_PHYSLITE.37019878._000009.pool.root.1,5,False,/eagle/UIC-HPC/amy/mgard-sweep.20260409_131859/results.jsonl,CollectionTree,1064.8994140625,4597.375,1608799,6.6108269691467285,23.202741622924805,25.1162109375,0.0,0.014925495721399002,1747459.25,10635492,58.59113311767578,29.41015625,181.6650390625,12.55859375,63.9296875,0.054987389594316004,0.41566506028175304,92.42970275878906,x1000c0s0b0n1,2026-04-09 13:27:34,,,,,,,,,,,,,,,,,,,,,,,,
